"","prop.lower","prop.me.list.all","prop.upper","RT1.memo.list","RT2.memo.list"
"logKo_a",6.482,6.699,6.921,31.35,5.61
"logKblood_a",3.602,3.797,3.989,31.35,5.61
"logKfat_a",6.329,6.518,6.706,31.35,5.61
"logKmussle_a",4.324,4.473,4.624,31.35,5.61
"logKo_w",4.354,4.853,5.369,31.35,5.61
"logKoc_w",3.881,4.278,4.669,31.35,5.61
"logBCF",4.812,5.21,5.607,31.35,5.61
"logKa_w",-2.36,-1.765,-1.168,31.35,5.61
"logSwL",-2.556,-1.973,-1.411,31.35,5.61
"logKw_cellper",-2.603,-2.423,-2.244,31.35,5.61
"logKw_skinper",-3.7,-3.33,-2.962,31.35,5.61
"logKw_serum",1.482,1.597,1.711,31.35,5.61
