"","logKo_a","logKblood_a","logKfat_a","logKmussle_a","logKo_w","logKoc_w","logBCF","logKa_w","logSwL","logKw_cellper","logKw_skinper","logKw_serum"
"1",5.89943171720599,3.06679302870043,5.72533839684193,3.71482421640876,4.73856605871151,3.95091334150759,5.08011034615137,-1.04800084796231,-1.67580194150637,-2.43590090257153,-3.57492977549004,1.25551321018327
"2",5.899208988396,3.01814671389946,5.76135396474734,3.71379990561786,4.88407082100635,3.99765659429434,4.87410275862542,-0.484700560658264,-1.36378863849223,-2.35582182078046,-3.62118966521329,1.29658631154746
"3",5.99681153640385,3.23538897836219,5.82633627393058,3.76262519676865,4.60717709101275,3.88539001724237,5.14920103315855,-0.841584401561228,-1.40555884666709,-2.26450517682564,-3.51748080009583,1.32467584414811
"4",5.88323109786048,3.04695142060643,5.81527734735347,3.78359736439266,4.69691375284096,4.14587118470166,5.31468735189601,-0.911541951422539,-1.39295300693551,-2.45442960729041,-3.34247034109748,1.25181618533517
"5",6.03805540885948,3.14196447888173,5.80952592174535,3.72400936068751,4.97432492114459,3.95766526274632,5.36903497119767,-0.569485340475882,-1.58095559780786,-2.27562529523716,-3.7226734546723,1.37218816337709
"6",6.02343513563924,3.14498621606281,5.78240683412482,3.71704633953099,4.89634453687763,3.91147494183184,4.90307017187016,-1.24520431387779,-1.92784528612706,-2.22338325143613,-3.50011466236266,1.38535648709666
"7",5.84156941034392,3.04356786727632,5.76016889773156,3.65001902133441,4.68430158084423,4.20590804631117,5.20081346939245,-1.45868062647449,-1.6424938778402,-2.35150163180096,-3.33614552287079,1.34182874177638
"8",5.73372200052831,3.09726636095541,5.71361448385178,3.79197390769257,4.65588042515231,3.99528088279816,5.11820366439814,-1.23133859690886,-1.56284069131563,-2.23713415411632,-3.4456831955887,1.4164232719771
"9",5.9124301763337,3.23854974277886,5.70066851332879,3.72472885147836,4.43470940876324,3.87713342985816,5.15391981969981,-0.823067101925226,-1.51038409557886,-2.51706983684092,-3.41959274392044,1.35018459939259
"10",5.82479644342816,3.24605694519794,5.71757976537895,3.74785508052438,4.60357858340385,4.18311168858364,5.1716740780178,-1.30090152513551,-1.77075095938588,-2.43113414103496,-3.67410439135589,1.33081522374359
"11",5.83651813891511,3.02980827034879,5.75844798163026,3.65035236205336,4.66053212795095,3.90784791173758,4.74567658904041,-1.1662539691558,-1.76415395735939,-2.40359769160638,-3.36281714864017,1.31370283840247
"12",5.85330331141362,3.30560408670769,5.80768575037562,3.57167580523511,4.29739223025993,4.16759001643537,4.73335294692459,-1.65003968271315,-1.74229177206012,-2.22286532933276,-3.42946667656525,1.26344240477894
"13",5.82191752357301,3.2222754479945,5.70843059145012,3.76679679864019,4.79923720462187,3.61274184217042,4.86685655320958,-0.839425578911196,-1.91791392944167,-2.28771965891408,-3.19022479686295,1.3513207194629
"14",6.00931320705089,3.01099767805464,5.79146609731337,3.73594717669608,4.60549540556009,4.14168642761724,5.48111780180949,-1.69095490397727,-1.43871971791548,-2.27483326945232,-3.42459057943775,1.46236651866104
"15",5.96824409866992,3.12456795871639,5.83698227589604,3.66816058378629,4.68652925814885,4.15135182304392,4.74234916880209,-0.774856037473679,-2.01476782370042,-2.32219298234019,-3.55061079523847,1.34820580756745
"16",5.99018725482354,3.09794721266385,5.72931764548937,3.60315907075027,4.60216178021803,3.98086422971985,5.07029866100914,-1.22596164128075,-1.34977954617948,-2.10918336237798,-3.27525562883441,1.28883352578815
"17",5.83366721192612,3.27453679852764,5.73444072044808,3.70691368902731,4.34208137394683,3.92630372346325,4.90195042466177,-1.48534285022737,-1.71304581317296,-2.49981532482738,-3.57590153313988,1.27376269267646
"18",6.03847151061666,3.10043428082292,5.68791991446118,3.68648487863515,4.90345340995235,3.93820147551661,4.97364548937681,-1.60812116255107,-1.62571499161181,-2.26672460682758,-3.33892687839852,1.26719363791547
"19",5.86153491680239,3.19232187274526,5.78751337965817,3.72816640493438,4.56103574485758,3.89386844125535,4.75135345655542,-0.875780020166578,-1.6816239827791,-2.3140411859182,-3.11872097771981,1.23480769540584
"20",6.09654607984244,3.04347775366375,5.6631617905035,3.7345553671109,4.86294056625843,3.76007505080403,4.7904880770108,-1.29050976027198,-1.7009124599536,-2.34911877253476,-3.22331900261514,1.30704338749388
"21",5.92860797610026,2.99344696309368,5.68600999285009,3.72756375367269,4.58746944345813,4.10668517518151,5.0528523210231,-1.09539463026507,-1.66237977261546,-2.46388821752759,-3.17500846268668,1.35486711471946
"22",5.83708741389966,3.05268692026008,5.81120178212978,3.62370839608517,5.04725960454941,4.01593529756509,4.88232097970582,-1.24526453091763,-1.19535243139367,-2.35241491008124,-3.39813191748793,1.36467762872
"23",5.83749460554262,3.03016255610801,5.84029972521114,3.86028006611233,4.74229376288578,3.52853385165556,4.88289437004125,-1.27371291869643,-1.51169650563553,-2.40134689545989,-3.56429001557969,1.27505285842375
"24",5.73212170230023,3.14578700327298,5.69172589552348,3.81518058862601,4.74845494926372,3.79050958464351,4.8524300888964,-1.37970441144624,-1.93693576348387,-2.20900975150365,-3.42716789644201,1.37249508519865
"25",5.77794091914147,3.26736414119919,5.9010777761962,3.7065890987351,4.365792020068,4.1629286802365,5.02067465515367,-0.798115882754162,-2.00811921858944,-2.33568683814008,-3.23778649174016,1.38517384696792
"26",5.8123205534418,3.14655593381582,5.83491335258696,3.70757024882947,4.69824395734083,4.15789709100259,4.94862326973509,-1.32641531000524,-1.59672384981617,-2.31858651831103,-3.36281133500417,1.28580713672084
"27",6.00460101076846,3.10098420393392,5.60660509475786,3.715911474817,4.93979045191117,3.63873591097329,4.76515464692418,-0.791023712686909,-1.48136099090385,-2.38796681674849,-3.47683277809442,1.33761601339569
"28",5.9910749141756,3.24184786920592,5.7044156630188,3.75640791152282,4.59765109538078,3.65401156935699,4.68281473296705,-1.30728804856213,-1.71127168738895,-2.42004811189291,-3.315305793204,1.31352935527923
"29",5.85057078846618,2.99418030565734,5.81939324790575,3.78477046271426,4.99314781642681,3.79526376856579,4.62893864347372,-1.49847459124944,-1.90701020041878,-2.31082324364545,-3.40867081123891,1.29515950249398
"30",5.90950691071686,3.11134152264502,5.7213075468893,3.62932934665335,4.68171124729889,4.00268732369277,4.87605534000695,-1.36958175783531,-1.74157578045577,-2.35079417253892,-3.05599575252171,1.3345709862102
"31",5.83554756616367,3.19537578262633,5.70638482916659,3.7712889094893,4.91127492252696,3.81181322412359,4.88339411501219,-1.44264383680924,-1.41254882943657,-2.48723186583958,-3.35239429858711,1.32466974527866
"32",6.10988060947872,3.19118478086931,5.86552872313419,3.78916704975543,4.83123210298772,3.89153867383207,4.82984200362448,-1.2316793408056,-1.48261706487196,-2.27261618702904,-3.50070334464298,1.26752925417959
"33",5.80854445482258,3.22267746842779,5.85371421287137,3.71559397861938,4.60854391632733,4.03275053035438,5.03169298021988,-1.34444304453938,-1.80797178899408,-2.35583548990554,-3.25473106484191,1.29628970211726
"34",5.80518869659265,3.03971122018477,5.58466230591405,3.69103694369433,4.57750437002797,4.07668733302382,5.19819853767224,-1.21370645950173,-1.58397175230555,-2.39247840150568,-3.18256397344864,1.41088383565537
"35",5.866109893437,3.28219170655403,5.71194335908732,3.61294579037726,4.34893427433049,4.08028774184769,4.99044077236607,-1.39994122917231,-1.58834778496069,-2.27655316082138,-3.30614686088262,1.34221968830993
"36",5.97798585084156,3.08830501654863,5.96530865788667,3.72099086209388,4.73357078881796,4.12043355032124,5.11744968364805,-1.33183998169109,-1.76644544802034,-2.34769829772664,-3.16920563414388,1.38271800565614
"37",5.93552054997436,3.23208777472243,5.87109997763051,3.77171023644997,4.20180733943004,3.74244755901965,4.8656967786613,-1.63320623050314,-1.31770499937337,-2.24085839947794,-3.50932877518727,1.3246579708459
"38",5.68182033806618,3.05655112807259,5.63178978544903,3.58538215699415,4.97439508202619,3.97477677327631,5.14201885345206,-1.44920258505145,-1.75579109400529,-2.31085588391853,-3.28411144836928,1.25589060030499
"39",5.80532195710752,3.15056290749036,5.73302655007296,3.76537773000724,4.79437880106285,4.05680433009412,5.12078824109245,-1.23636780370218,-1.41035968655829,-2.28559700599777,-3.18659201460862,1.31357253878017
"40",5.88291716304786,3.061106671005,5.74594781172722,3.68593295956169,4.11142050472114,3.98362976386845,5.08456621712673,-0.964534885427173,-1.68892258188358,-2.40763901633764,-3.33789569497105,1.30370526518838
"41",5.86064434167649,3.17305112113219,5.79999383012009,3.59231223620972,4.50804288160604,3.61566989397139,4.93823305297127,-1.34363680116218,-1.96513301409466,-2.36307539091798,-3.20686542915923,1.34488926314548
"42",5.82618146201016,3.09545148404565,5.70510078600202,3.74105647797507,4.47550066223524,4.06107832544154,4.91687195038869,-1.03232990968023,-1.67176713428028,-2.31278712073262,-3.54179026174499,1.25772008754718
"43",5.87877641820347,3.03992900477995,5.96966890504017,3.70208997378392,4.75820408574478,4.04285018851014,4.76946565120178,-1.43186867987451,-2.00769375730514,-2.3209477435566,-3.29105784265875,1.34697377153028
"44",5.83744437243851,3.027945380432,5.62373618800454,3.72947562103038,4.7507738121073,4.10021765934513,4.87617454939559,-1.0301861360071,-1.56331926873545,-2.29754667683673,-3.27900337605457,1.27336369772443
"45",5.8824448628157,3.03386200916045,5.70943308703528,3.8611041937808,4.63010844645125,3.97294113314318,5.0584997994866,-1.3020192507752,-1.8686914992799,-2.35841269163975,-3.5235668181509,1.2891697701767
"46",5.75633549868106,3.15997031585583,5.81966051120116,3.73490839400301,4.64238744283333,4.15483310593016,5.1284435494897,-1.12500370318457,-1.7911827616194,-2.26460871212645,-3.39354305252124,1.32572484628866
"47",5.90179645814321,3.10798080390112,5.67169278340994,3.7940714812972,4.75300719997094,3.89614181024029,4.76348235235734,-1.03462759980199,-1.91145521822239,-2.24799108632535,-3.31533344039454,1.34789796747475
