"","prop.lower","prop.me.list.all","prop.upper","RT1.memo.list","RT2.memo.list"
"logKo_a",7.96,8.228,8.501,48.69,8.67
"logKblood_a",4.855,5.094,5.331,48.69,8.67
"logKfat_a",7.736,7.97,8.202,48.69,8.67
"logKmussle_a",5.673,5.857,6.043,48.69,8.67
"logKo_w",4.638,5.255,5.889,48.69,8.67
"logKoc_w",4.379,4.87,5.349,48.69,8.67
"logBCF",5.29,5.781,6.271,48.69,8.67
"logKa_w",-3.623,-2.891,-2.156,48.69,8.67
"logSwL",-3.235,-2.519,-1.829,48.69,8.67
"logKw_cellper",-2.82,-2.599,-2.378,48.69,8.67
"logKw_skinper",-3.713,-3.256,-2.805,48.69,8.67
"logKw_serum",2.025,2.166,2.307,48.69,8.67
