"","prop.lower","prop.me.list.all","prop.upper","RT1.memo.list","RT2.memo.list"
"logKo_a",6.803,7.032,7.264,35.35,6.4
"logKblood_a",3.939,4.143,4.345,35.35,6.4
"logKfat_a",6.626,6.825,7.023,35.35,6.4
"logKmussle_a",4.652,4.809,4.968,35.35,6.4
"logKo_w",4.267,4.793,5.334,35.35,6.4
"logKoc_w",3.887,4.304,4.714,35.35,6.4
"logBCF",4.807,5.224,5.64,35.35,6.4
"logKa_w",-2.796,-2.171,-1.544,35.35,6.4
"logSwL",-2.544,-1.93,-1.342,35.35,6.4
"logKw_cellper",-2.703,-2.514,-2.326,35.35,6.4
"logKw_skinper",-3.806,-3.417,-3.03,35.35,6.4
"logKw_serum",1.579,1.699,1.819,35.35,6.4
